NodeName    	EventType       		TimeStamp      		PacketType  	SeqNo    	Source          	Destination

RELAY2		 S 				15:15:51 		 DATA 		 9 		 RELAY2 		 CLIENT
RELAY1		 R 				15:15:51 		 DATA 		 10 		 SERVER 		 RELAY1
CLIENT		 R 				15:15:51 		 DATA 		 8 		 RELAY1 		 CLIENT
RELAY2		 R 				15:15:51 		 DATA 		 9 		 SERVER 		 RELAY2
CLIENT		 S 				15:15:51 		 DATA 		 9 		 CLIENT 		 RELAY2
RELAY1		 S 				15:15:51 		 DATA 		 10 		 RELAY1 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 10 		 RELAY1 		 SERVER
RELAY2		 S 				15:15:51 		 DATA 		 9 		 RELAY2 		 SERVER
CLIENT		 S 				15:15:51 		 DATA 		 10 		 CLIENT 		 RELAY1
RELAY1		 R 				15:15:51 		 DATA 		 8 		 SERVER 		 RELAY1
SERVER		 R 				15:15:51 		 DATA 		 9 		 RELAY2 		 SERVER
RELAY2		 R 				15:15:51 		 DATA 		 9 		 SERVER 		 RELAY2
RELAY2		 S 				15:15:51 		 DATA 		 9 		 RELAY2 		 SERVER
RELAY1		 S 				15:15:51 		 DATA 		 8 		 RELAY1 		 SERVER
SERVER		 R 				15:15:51 		 DATA 		 8 		 RELAY1 		 SERVER
CLIENT		 R 				15:15:51 		 DATA 		 9 		 RELAY1 		 CLIENT
CLIENT		 S 				15:15:51 		 DATA 		 10 		 CLIENT 		 RELAY1
RELAY1		 R 				15:15:51 		 DATA 		 10 		 SERVER 		 RELAY1
SERVER		 R 				15:15:51 		 DATA 		 10 		 RELAY1 		 SERVER
RELAY1		 S 				15:15:51 		 DATA 		 10 		 RELAY1 		 SERVER
RELAY1		 R 				15:15:51 		 DATA 		 10 		 SERVER 		 RELAY1
RELAY1		 S 				15:15:51 		 DATA 		 10 		 RELAY1 		 SERVER
RELAY1		 R 				15:15:51 		 DATA 		 10 		 CLIENT 		 RELAY1
RELAY1		 S 				15:15:51 		 DATA 		 10 		 RELAY1 		 CLIENT
CLIENT		 R 				15:15:51 		 DATA 		 10 		 RELAY1 		 CLIENT
